iter	Passed	Remaining
427	1775	2372
428	1779	2367
429	1783	2363
430	1787	2359
431	1791	2355
432	1795	2350
433	1799	2346
434	1803	2342
435	1807	2338
436	1811	2333
437	1815	2329
438	1819	2324
439	1822	2320
440	1826	2315
441	1829	2310
442	1833	2305
443	1837	2301
444	1841	2297
445	1845	2292
446	1850	2289
447	1854	2284
448	1857	2279
449	1861	2275
450	1865	2270
451	1869	2266
452	1873	2261
453	1877	2257
454	1881	2253
455	1884	2248
456	1888	2243
457	1891	2238
458	1895	2234
459	1900	2230
460	1904	2226
461	1908	2221
462	1911	2217
463	1915	2212
464	1920	2209
465	1924	2204
466	1927	2200
467	1932	2196
468	1935	2191
469	1939	2187
470	1943	2182
471	1946	2177
472	1950	2173
473	1954	2168
474	1957	2163
475	1961	2159
476	1965	2154
477	1968	2150
478	1972	2145
479	1976	2141
480	1980	2136
481	1984	2132
482	1988	2128
483	1992	2123
484	1995	2119
485	1999	2114
486	2003	2110
487	2006	2105
488	2010	2101
489	2015	2097
490	2018	2092
491	2022	2088
492	2026	2083
493	2029	2079
494	2033	2074
495	2037	2069
496	2042	2067
497	2046	2062
498	2050	2058
499	2054	2054
500	2057	2049
501	2061	2045
502	2067	2042
503	2071	2038
504	2075	2034
505	2079	2030
506	2083	2025
507	2086	2021
508	2090	2016
509	2094	2012
510	2098	2007
511	2101	2003
512	2105	1998
513	2109	1994
514	2112	1989
515	2116	1984
516	2119	1980
517	2123	1976
518	2127	1972
519	2132	1968
520	2137	1964
521	2140	1960
522	2144	1955
523	2147	1951
524	2152	1947
525	2156	1943
526	2160	1939
527	2165	1935
528	2169	1931
529	2172	1926
530	2176	1922
531	2180	1918
532	2184	1913
533	2187	1909
534	2192	1905
535	2195	1900
536	2199	1896
537	2203	1892
538	2206	1887
539	2210	1883
540	2214	1878
541	2218	1874
542	2221	1869
543	2225	1865
544	2229	1861
545	2233	1856
546	2236	1852
547	2240	1848
548	2244	1844
549	2249	1840
550	2252	1835
551	2256	1831
552	2260	1827
553	2264	1822
554	2268	1818
555	2272	1814
556	2276	1810
557	2280	1806
558	2283	1801
559	2287	1797
560	2291	1792
561	2294	1788
562	2298	1784
563	2302	1780
564	2306	1775
565	2310	1771
566	2313	1767
567	2317	1762
568	2321	1758
569	2324	1753
570	2328	1749
571	2332	1745
572	2337	1741
573	2341	1737
574	2344	1733
575	2348	1728
576	2352	1724
577	2356	1720
578	2359	1715
579	2363	1711
580	2367	1707
581	2371	1702
582	2374	1698
583	2378	1694
584	2382	1690
585	2387	1686
586	2391	1682
587	2395	1678
588	2399	1674
589	2403	1670
590	2407	1666
591	2411	1661
592	2415	1657
593	2419	1653
594	2423	1649
595	2427	1645
596	2431	1641
597	2434	1636
598	2438	1632
599	2443	1628
600	2447	1624
601	2451	1620
602	2455	1616
603	2459	1612
604	2462	1608
605	2466	1603
606	2470	1599
607	2474	1595
608	2479	1591
609	2483	1587
610	2487	1583
611	2490	1579
612	2494	1574
613	2497	1570
614	2501	1565
615	2505	1561
616	2508	1557
617	2512	1553
618	2515	1548
619	2519	1544
620	2523	1539
621	2527	1535
622	2531	1532
623	2535	1527
624	2539	1523
625	2542	1519
626	2546	1515
627	2549	1510
628	2553	1506
629	2558	1502
630	2562	1498
631	2567	1494
632	2571	1490
633	2574	1486
634	2578	1481
635	2581	1477
636	2586	1473
637	2590	1469
638	2594	1465
639	2598	1461
640	2602	1457
641	2605	1453
642	2609	1448
643	2612	1444
644	2617	1440
645	2620	1436
646	2625	1432
647	2628	1428
648	2632	1423
649	2637	1420
650	2641	1416
651	2645	1412
652	2649	1407
653	2653	1403
654	2656	1399
655	2660	1395
656	2664	1391
657	2668	1386
658	2671	1382
659	2676	1378
660	2680	1374
661	2684	1370
662	2688	1366
663	2692	1362
664	2696	1358
665	2700	1354
666	2705	1350
667	2709	1346
668	2713	1342
669	2717	1338
670	2721	1334
671	2724	1329
672	2728	1325
673	2732	1321
674	2736	1317
675	2741	1313
676	2745	1309
677	2749	1305
678	2752	1301
679	2756	1297
680	2763	1294
681	2767	1290
682	2771	1286
683	2775	1282
684	2778	1277
685	2782	1273
686	2786	1269
687	2790	1265
688	2795	1261
689	2799	1257
690	2803	1253
691	2807	1249
692	2812	1245
693	2816	1241
694	2820	1237
695	2825	1234
696	2829	1230
697	2833	1225
698	2837	1221
699	2840	1217
700	2844	1213
701	2850	1210
702	2854	1205
703	2858	1201
704	2862	1197
705	2866	1193
706	2870	1189
707	2873	1185
708	2877	1181
709	2882	1177
710	2885	1172
711	2889	1168
712	2893	1164
713	2896	1160
714	2900	1156
715	2904	1152
716	2908	1147
717	2912	1143
718	2916	1139
719	2919	1135
720	2923	1131
721	2926	1127
722	2930	1122
723	2934	1118
724	2938	1114
725	2941	1110
726	2945	1106
727	2950	1102
728	2954	1098
729	2958	1094
730	2963	1090
731	2967	1086
732	2971	1082
733	2975	1078
734	2978	1073
735	2982	1069
736	2986	1065
737	2990	1061
738	2995	1057
739	2999	1053
740	3002	1049
741	3006	1045
742	3010	1041
743	3013	1036
744	3017	1032
745	3021	1028
746	3025	1024
747	3029	1020
748	3033	1016
749	3037	1012
